"year","pair","trade","gdp","sim","rlf","rer","cee","emu","dist","bor","lan","rert","ftrade","fgdp","fsim","frlf","frer"
1993,27,5.727305,14.32468,-1.716712,8.700961,0.9510916,1,0,6.932448,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,27,5.876305,14.34698,-1.689286,8.882819,1.017117,1,0,6.932448,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,27,6.033949,14.36688,-1.682862,8.939411,1.276027,1,0,6.932448,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,27,6.045888,14.37887,-1.671478,8.99413,1.244615,1,0,6.932448,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,27,6.021253,14.39897,-1.658511,9.056702,1.00767,1,0,6.932448,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,27,6.087533,14.43048,-1.674014,9.061968,0.9982607,1,0,6.932448,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,27,6.065207,14.46221,-1.682544,9.029865,0.9367551,1,0,6.932448,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,27,5.983972,14.50214,-1.6865,9.161349,0.6802705,1,0,6.932448,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,27,5.980299,14.51871,-1.69368,9.208652,0.6456263,1,0,6.932448,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,28,5.533935,13.66677,-1.901845,8.420561,-0.4015633,0,0,5.863631,1,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,28,5.579042,13.71423,-1.888755,8.562544,-0.3507773,0,0,5.863631,1,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,28,5.660653,13.76139,-1.881469,8.58743,-0.3304581,0,0,5.863631,1,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,28,5.634313,13.78775,-1.899725,8.47623,-0.3179889,0,0,5.863631,1,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,28,5.741996,13.8521,-1.877612,8.704382,-0.3048643,0,0,5.863631,1,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,28,5.842181,13.90393,-1.864323,8.825862,-0.2891696,0,0,5.863631,1,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,28,5.783835,13.93293,-1.866109,8.780787,-0.2597074,0,0,5.863631,1,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,28,5.723973,13.93502,-1.829547,8.711515,-0.2410734,0,0,5.863631,1,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,28,5.742487,13.98612,-1.840459,8.725031,-0.2730865,0,0,5.863631,1,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,28,5.87793,14.05814,-1.850163,8.867158,-0.2033222,0,0,5.863631,1,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,28,5.934737,14.10418,-1.873725,8.816828,-0.0741509,0,0,5.863631,1,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,28,5.959793,14.13295,-1.87597,8.775374,0.0277376,0,0,5.863631,1,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,28,6.030728,14.17639,-1.874264,8.902178,0.2039388,0,0,5.863631,1,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,28,6.354248,14.22153,-1.883622,9.016381,0.6016196,1,0,5.863631,1,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,28,6.233479,14.22391,-1.89884,8.829364,0.7218332,1,0,5.863631,1,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,28,6.223734,14.21052,-1.904085,8.657413,0.9194964,1,0,5.863631,1,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,28,6.47033,14.25985,-1.891296,8.805914,0.8989104,1,0,5.863631,1,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,28,6.454735,14.28745,-1.905524,8.710277,1.050322,1,0,5.863631,1,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,28,6.610409,14.31651,-1.91555,8.750111,1.355473,1,0,5.863631,1,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,28,6.661657,14.35736,-1.923678,8.8517,1.598611,1,0,5.863631,1,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,28,6.572,14.36605,-1.938825,8.842789,1.666326,1,0,5.863631,1,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,28,6.367849,14.37032,-1.958741,8.679402,1.318249,1,0,5.863631,1,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,28,6.411586,14.36579,-1.927487,8.691782,1.145777,1,0,5.863631,1,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,28,6.406872,14.38734,-1.921329,8.682371,1.034292,1,0,5.863631,1,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,28,6.394139,14.41685,-1.91225,8.748794,0.8448349,1,0,5.863631,1,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,28,6.534747,14.44146,-1.901538,8.851679,0.8317678,1,0,5.863631,1,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,28,6.831598,14.4694,-1.888745,8.910043,1.417281,1,0,5.863631,1,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,28,6.929682,14.48405,-1.903574,8.798619,1.805054,1,0,5.863631,1,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,28,6.927631,14.51837,-1.916847,8.665793,1.885671,1,0,5.863631,1,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,28,6.919936,14.55439,-1.948423,7.75772,1.780381,1,0,5.863631,1,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,28,7.128685,14.60665,-1.987589,7.683362,2.153794,1,0,5.863631,1,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,28,7.211912,14.73258,-2.0938,7.990774,2.137535,1,0,5.863631,1,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,28,7.328518,14.75369,-2.107774,7.823211,2.283575,1,0,5.863631,1,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,28,7.05,14.74347,-2.098281,7.556896,2.181858,1,0,5.863631,1,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,28,7.135335,14.76866,-2.072253,8.141624,2.247449,1,0,5.863631,1,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,28,7.356464,14.78646,-2.063575,8.250801,2.524133,1,0,5.863631,1,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,28,7.326078,14.79518,-2.048609,8.273859,2.468405,1,0,5.863631,1,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,28,7.318392,14.811,-2.031049,8.399085,2.221456,1,0,5.863631,1,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,28,7.339725,14.82826,-2.03413,8.342689,2.208028,1,0,5.863631,1,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,28,7.342824,14.84304,-2.027382,8.430243,2.146866,1,0,5.863631,1,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,28,7.298942,14.87661,-2.025645,8.743919,1.890381,1,0,5.863631,1,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,28,7.34115,14.88092,-2.021809,8.867238,1.855737,1,0,5.863631,1,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,29,0.7432528,11.43671,-0.9961652,9.466405,-2.367796,0,0,7.747165,0,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,29,0.7345264,11.50928,-0.9743984,9.510768,-2.357143,0,0,7.747165,0,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,29,1.278045,11.55457,-0.9943374,9.568052,-2.345461,0,0,7.747165,0,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,29,1.347379,11.58393,-0.9495385,9.540204,-2.332992,0,0,7.747165,0,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,29,1.385353,11.66999,-0.9542655,9.622724,-2.319867,0,0,7.747165,0,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,29,1.460956,11.74262,-0.9431054,9.644532,-2.304173,0,0,7.747165,0,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,29,1.693339,11.77824,-0.9282413,9.652625,-2.27471,0,0,7.747165,0,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,29,1.794359,11.82365,-0.9232955,9.672323,-2.256076,0,0,7.747165,0,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,29,1.389058,11.86982,-0.9117006,9.695848,-2.28809,0,0,7.747165,0,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,29,1.560573,11.94038,-0.8973609,9.740033,-2.235143,0,0,7.747165,0,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,29,1.716997,11.97682,-0.8738334,9.728846,-2.17797,0,0,7.747165,0,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,29,1.538944,12.01593,-0.8569191,9.72987,-2.125147,0,0,7.747165,0,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,29,1.616594,12.07354,-0.84183,9.750951,-2.02798,0,0,7.747165,0,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,29,1.888353,12.11977,-0.8288045,9.762881,-1.811848,0,0,7.747165,0,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,29,1.620351,12.0982,-0.8369752,9.754815,-1.730211,0,0,7.747165,0,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,29,2.125429,12.10444,-0.8097714,9.700984,-1.644765,0,0,7.747165,0,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,29,2.141156,12.16724,-0.8103319,9.766467,-1.77583,0,0,7.747165,0,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,29,2.184344,12.18649,-0.8032473,9.76943,-1.715081,0,0,7.747165,0,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,29,2.470264,12.22065,-0.7886317,9.76537,-1.553041,0,0,7.747165,0,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,29,2.529859,12.25409,-0.7873588,9.796182,-1.408409,0,0,7.747165,0,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,29,2.417055,12.25515,-0.7799106,9.781428,-1.487205,0,0,7.747165,0,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,29,2.676601,12.24413,-0.7747957,9.754203,-1.879726,1,0,7.747165,0,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,29,2.576668,12.26455,-0.7821454,9.798375,-2.165479,1,0,7.747165,0,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,29,2.499663,12.28432,-0.7893561,9.826718,-2.504657,1,0,7.747165,0,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,29,2.476498,12.3195,-0.7931163,9.86805,-2.830828,1,0,7.747165,0,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,29,2.647206,12.35391,-0.7948592,9.906353,-3.021744,1,0,7.747165,0,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,29,3.029346,12.38705,-0.8030702,9.956456,-2.75208,1,0,7.747165,0,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,29,3.057982,12.38441,-0.8040391,9.959147,-2.517707,1,0,7.747165,0,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,29,2.999991,12.48218,-0.7449245,9.956866,-2.504999,1,0,7.747165,0,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,29,3.168838,12.49788,-0.7370979,9.941823,-2.679162,1,0,7.747165,0,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,29,3.303785,12.5038,-0.739055,9.957745,-2.434483,1,0,7.747165,0,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,29,3.262412,12.52223,-0.735212,9.959553,-2.560682,1,0,7.747165,0,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,29,3.467792,12.52794,-0.7354052,9.965188,-2.520477,1,0,7.747165,0,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,29,3.435054,12.52886,-0.7349277,9.961191,-2.748938,1,0,7.747165,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,29,3.498202,12.57045,-0.7410877,10.02786,-2.762539,1,0,7.747165,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,29,3.637926,12.60346,-0.7379252,10.05337,-2.561433,1,0,7.747165,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,29,3.661888,12.62771,-0.7382528,10.07016,-2.606779,1,0,7.747165,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,29,3.717836,12.66338,-0.737796,10.09447,-2.837762,1,0,7.747165,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,29,3.825845,12.68619,-0.7332544,10.11032,-2.915509,1,0,7.747165,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,29,3.661497,12.71345,-0.7307436,10.11275,-3.013469,1,0,7.747165,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,29,3.474133,12.75101,-0.7297475,10.17426,-3.269953,1,0,7.747165,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,29,3.620422,12.74877,-0.7349658,10.19062,-3.304598,1,0,7.747165,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,30,0.6460661,11.34187,-1.268957,9.289633,2.063121,0,0,7.121253,0,1,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,30,0.8656043,11.40167,-1.276964,9.345975,2.073774,0,0,7.121253,0,1,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,30,0.8591056,11.4529,-1.292826,9.40289,2.085456,0,0,7.121253,0,1,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,30,1.255619,11.46579,-1.266529,9.380687,2.097925,0,0,7.121253,0,1,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,30,1.153043,11.54602,-1.300348,9.486099,2.11105,0,0,7.121253,0,1,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,30,1.492388,11.6049,-1.33273,9.532858,2.126744,0,0,7.121253,0,1,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,30,1.33597,11.62904,-1.345615,9.557347,2.156206,0,0,7.121253,0,1,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,30,1.31478,11.67376,-1.335517,9.570508,2.162865,0,0,7.121253,0,1,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,30,1.43611,11.71908,-1.308414,9.58328,1.988677,0,0,7.121253,0,1,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,30,1.544737,11.77967,-1.311391,9.641622,2.041623,0,0,7.121253,0,1,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,30,1.9565,11.80085,-1.306731,9.651015,2.098796,0,0,7.121253,0,1,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,30,1.828337,11.82832,-1.301845,9.667773,2.165846,0,0,7.121253,0,1,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,30,1.885029,11.87656,-1.289822,9.701561,2.290339,0,0,7.121253,0,1,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,30,2.138311,11.91496,-1.275565,9.730009,2.473308,1,0,7.121253,0,1,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,30,2.063271,11.90865,-1.244708,9.688044,2.520776,1,0,7.121253,0,1,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,30,1.915393,11.90263,-1.19796,9.633535,2.616354,1,0,7.121253,0,1,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,30,2.222014,11.957,-1.229546,9.729351,2.412818,1,0,7.121253,0,1,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,30,2.604776,11.98121,-1.187086,9.704231,2.448309,1,0,7.121253,0,1,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,30,2.627917,12.00915,-1.155376,9.693219,2.702697,1,0,7.121253,0,1,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,30,2.731356,12.04078,-1.156412,9.730752,2.920153,1,0,7.121253,0,1,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,30,2.674875,12.04049,-1.133381,9.70588,2.983994,1,0,7.121253,0,1,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,30,2.588955,12.03334,-1.103856,9.657187,2.610297,1,0,7.121253,0,1,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,30,2.555896,12.06147,-1.107958,9.696264,2.38374,1,0,7.121253,0,1,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,30,2.763708,12.08531,-1.120559,9.732796,2.191211,1,0,7.121253,0,1,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,30,2.773353,12.12538,-1.118786,9.767274,1.970868,1,0,7.121253,0,1,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,30,2.987498,12.1607,-1.121732,9.806528,1.966831,1,0,7.121253,0,1,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,30,3.183829,12.19998,-1.129624,9.871362,2.486569,1,0,7.121253,0,1,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,30,3.270583,12.2081,-1.101912,9.842177,2.78732,1,0,7.121253,0,1,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,30,3.267686,12.23283,-1.088475,9.82371,2.869493,1,0,7.121253,0,1,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,30,3.424769,12.24683,-1.056425,9.778669,2.760243,1,0,7.121253,0,1,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,30,3.636147,12.28352,-0.9950013,9.724488,3.13696,1,0,7.121253,0,1,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,30,3.594153,12.29658,-0.9909186,9.728248,3.119856,1,0,7.121253,0,1,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,30,3.782798,12.30933,-0.9774609,9.709547,3.260583,1,0,7.121253,0,1,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,30,3.636946,12.31606,-0.9643681,9.680189,3.076501,1,0,7.121253,0,1,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,30,3.888372,12.36998,-0.963036,9.726553,3.13324,1,0,7.121253,0,1,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,30,4.160364,12.41444,-0.9318972,9.683109,3.355337,1,0,7.121253,0,1,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,30,4.293547,12.45282,-0.9096984,9.644123,3.347082,1,0,7.121253,0,1,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,30,4.264246,12.50686,-0.8809631,9.581352,3.187931,1,0,7.121253,0,1,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,30,4.437359,12.54127,-0.8537121,9.525877,3.126384,1,0,7.121253,0,1,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,30,4.519475,12.59089,-0.8218603,9.405047,3.056491,1,0,7.121253,0,1,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,30,4.587386,12.65066,-0.7977447,9.269188,2.800006,1,0,7.121253,0,1,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,30,4.696877,12.65191,-0.8045403,9.067553,2.765362,1,0,7.121253,0,1,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,31,3.709651,13.69005,-1.92309,9.173737,-5.404251,0,0,7.339538,0,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,31,3.53363,13.76759,-1.937453,9.217602,-5.393597,0,0,7.339538,0,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,31,3.791517,13.82738,-1.941696,9.260249,-5.381915,0,0,7.339538,0,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,31,4.075104,13.87829,-1.982626,9.222095,-5.369446,0,0,7.339538,0,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,31,4.134254,13.91055,-1.930907,9.348707,-5.356321,0,0,7.339538,0,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,31,4.102127,13.94546,-1.902098,9.394104,-5.340627,0,0,7.339538,0,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,31,4.151323,13.94381,-1.875993,9.390434,-5.311165,0,0,7.339538,0,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,31,4.224061,14.00424,-1.892342,9.387922,-5.292531,0,0,7.339538,0,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,31,4.238528,14.06116,-1.908645,9.402284,-5.324544,0,0,7.339538,0,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,31,4.291277,14.11761,-1.904221,9.460966,-5.271597,0,0,7.339538,0,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,31,4.292282,14.29996,-2.053373,9.445025,-5.214425,0,0,7.339538,0,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,31,4.230867,14.31853,-2.046214,9.468993,-5.155371,0,0,7.339538,0,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,31,4.338222,14.34932,-2.032784,9.520223,-4.997945,0,0,7.339538,0,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,31,4.775208,14.41135,-2.057936,9.525952,-4.789097,1,0,7.339538,0,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,31,4.621245,14.45338,-2.110276,9.454763,-4.804886,1,0,7.339538,0,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,31,4.706825,14.43058,-2.106872,9.44145,-4.664393,1,0,7.339538,0,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,31,4.72435,14.49481,-2.107674,9.502987,-4.895388,1,0,7.339538,0,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,31,4.823739,14.52812,-2.127538,9.495518,-4.894241,1,0,7.339538,0,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,31,4.969841,14.56555,-2.145599,9.492694,-4.691478,1,0,7.339538,0,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,31,5.037292,14.61598,-2.162846,9.496195,-4.521925,1,0,7.339538,0,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,31,4.964269,14.64769,-2.199908,9.445141,-4.488477,1,0,7.339538,0,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,31,4.673339,14.65148,-2.219853,9.395966,-4.89438,1,0,7.339538,0,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,31,4.814614,14.65432,-2.194744,9.452446,-5.177298,1,0,7.339538,0,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
1983,31,4.823056,14.66756,-2.180652,9.4775,-5.353786,1,0,7.339538,0,0,4.3424,4.7981,13.5038,-1.3348,8.3036,-1.1911
1984,31,4.766811,14.69551,-2.169889,9.521361,-5.582363,1,0,7.339538,0,0,4.2269,4.8274,13.5282,-1.3353,8.3973,-1.4241
1985,31,4.955766,14.72525,-2.163708,9.561988,-5.639002,1,0,7.339538,0,0,4.1718,4.9309,13.5539,-1.3338,8.4653,-1.4981
1986,31,5.283401,14.75125,-2.148767,9.614285,-5.11967,1,0,7.339538,0,0,4.4419,5.1959,13.5859,-1.3236,8.4598,-1.0525
1987,31,5.392693,14.77875,-2.175998,9.579718,-4.779199,1,0,7.339538,0,0,4.6152,5.403,13.6137,-1.3228,8.5181,-0.7498
1988,31,5.368016,14.81634,-2.192681,9.559416,-4.722225,1,0,7.339538,0,0,4.6987,5.4819,13.6614,-1.3089,8.4841,-0.6665
1989,31,5.456121,14.84309,-2.216358,9.526763,-4.81195,1,0,7.339538,0,0,4.6637,5.5596,13.6972,-1.3056,8.6043,-0.7575
1990,31,5.661924,14.86207,-2.225162,9.521222,-4.450972,1,0,7.339538,0,0,4.8114,5.7427,13.726,-1.2992,8.6043,-0.4457
1991,31,5.636431,14.87572,-2.227564,9.52307,-4.477968,1,0,7.339538,0,0,4.7907,5.7367,13.7499,-1.3112,8.629,-0.4727
1992,31,5.650721,14.88321,-2.228884,9.52243,-4.379059,1,0,7.339538,0,0,4.8332,5.7983,13.7588,-1.3121,8.6429,-0.3862
1993,31,5.400688,14.87484,-2.221037,9.53019,-4.669989,1,0,7.339538,0,0,4.7167,5.6422,13.7559,-1.3099,8.6264,-0.6501
1994,31,5.62864,14.8985,-2.193317,9.618266,-4.656428,1,0,7.339538,0,0,4.7427,5.7724,13.7878,-1.3044,8.5688,-0.6116
1995,31,5.784528,14.92723,-2.194783,9.635275,-4.518984,1,0,7.339538,0,0,4.8836,5.9345,13.8166,-1.295,8.5322,-0.4019
1996,31,5.740818,14.93894,-2.182452,9.666794,-4.464492,1,0,7.339538,0,0,4.8653,6.0044,13.8364,-1.2859,8.5342,-0.4126
1997,31,5.773253,14.95951,-2.169134,9.706988,-4.668459,1,0,7.339538,0,0,4.7184,6.0167,13.8661,-1.2746,8.5992,-0.6152
1998,31,5.839305,14.97745,-2.172889,9.73821,-4.686409,1,0,7.339538,0,0,4.6709,6.1389,13.8963,-1.2668,8.6213,-0.65
1999,31,5.838929,14.99569,-2.169294,9.748767,-4.750839,1,0,7.339538,0,0,4.6139,6.1737,13.9341,-1.2563,8.6397,-0.7173
2000,31,5.695349,15.02237,-2.161092,9.833409,-5.007323,1,0,7.339538,0,0,4.4855,6.1104,13.9733,-1.2471,8.6329,-0.9549
2001,31,5.746879,15.03925,-2.168961,9.859969,-5.041967,1,0,7.339538,0,0,4.4484,6.0965,13.9851,-1.2521,8.523,-1.0051
1960,32,3.893366,12.16888,-0.770763,8.363479,-0.3014918,0,0,6.431331,0,1,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,32,3.994507,12.19461,-0.755867,8.582836,-0.250254,0,0,6.431331,0,1,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,32,4.050407,12.25688,-0.7587047,8.619151,-0.230649,0,0,6.431331,0,1,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,32,3.919512,12.2811,-0.7660626,8.561794,-0.2181797,0,0,6.431331,0,1,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,32,4.088182,12.36378,-0.7635792,8.678234,-0.2050551,0,0,6.431331,0,1,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
